RecordID,daysSinceLastLogin,productsListed,productsPassRate,productsWished,seniorityAsMonths,socialNbFollowers,socialNbFollows,socialProductsLiked,language_de,language_en,language_es,language_fr,language_it,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,Gender_Byte,transact
1,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
2,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
4,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
7,7.86956067499121e-04,0,0,0,1,0,6.01503759398496e-02,7.82932080642004e-04,0,1,0,0,0,0,0,0,1,1,0
11,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
12,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
17,7.42180980900034e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
19,2.84932369266923e-05,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,1,0,0,0,0,0,0,1,1,0
21,9.45704101804979e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
26,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
30,6.13283004326902e-04,0,0,5.54870530209618e-03,1,0,6.01503759398496e-02,0,0,1,0,0,0,1,1,0,1,1,0
37,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
47,1.57391213499824e-04,8.33333333333333e-02,0,0,1,0.636363636363636,6.01503759398496e-02,0,0,0,0,1,0,1,0,1,0,1,1
61,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
62,8.14092483619781e-06,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
70,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
71,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
73,6.49917166089792e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
76,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
77,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
87,9.36206356162748e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,1,0,1,1,1,0
91,8.14092483619781e-06,0,0,0,1,0,6.01503759398496e-02,1.09610491289881e-02,0,0,0,1,0,1,0,1,1,1,0
96,2.67293698788495e-04,0,0,4.31565967940814e-03,1,2.27272727272727e-02,7.5187969924812e-02,1.95733020160501e-04,0,1,0,0,0,1,1,0,1,1,1
97,7.92383350723253e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
100,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
108,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
119,7.20471848003506e-04,0,0,0,1,0,6.01503759398496e-02,1.56586416128401e-03,0,1,0,0,0,1,0,1,1,1,0
128,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
130,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
134,6.43133062059627e-04,8.33333333333333e-02,0,0,1,9.09090909090909e-02,6.01503759398496e-02,1.17439812096301e-03,0,0,0,1,0,1,0,1,1,1,1
137,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
140,9.47060922611012e-04,0,0,6.1652281134402e-04,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
145,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
148,9.45704101804979e-04,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,0,0,1,0,0,0,0,1,1,0
154,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,0,1,1,0,1,1,1,0
161,5.42728322413187e-06,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,1,1,0,1,1,0
163,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
166,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
176,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
178,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
186,1.83170808814451e-04,0,0,1.23304562268804e-03,1,0,6.76691729323308e-02,1.17439812096301e-03,0,0,1,0,0,1,1,0,1,1,0
188,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
191,7.92383350723253e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
192,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
196,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
200,8.14092483619781e-06,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,1,0,0,0,0,0,0,1,1,0
201,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
211,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
214,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
215,8.07308379589616e-04,0,0,0,1,0,6.01503759398496e-02,1.95733020160501e-04,0,1,0,0,0,0,0,0,1,1,0
216,4.43680403572781e-04,0,0,0,1,4.54545454545455e-02,6.01503759398496e-02,5.87199060481503e-04,1,0,0,0,0,1,0,1,1,1,1
218,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
224,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,1,0,0,0,0,0,1,1,0
225,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
227,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
229,8.62938032636968e-04,0,0,0,1,0,6.76691729323308e-02,1.95733020160501e-04,0,1,0,0,0,1,1,0,1,1,0
230,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,0,1,0,0,0,1,1,0
240,3.4734612634444e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
241,8.52083466188704e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
242,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,0,0,0,1,1,0
247,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,1,0,0,0,0,0,0,0,1,1,0
258,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,0,0,1,0,1,0,1,1,1,0
261,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
262,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
271,9.36206356162748e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
278,9.47060922611012e-04,0,0,0,1,0,6.01503759398496e-02,0,0,1,0,0,0,0,0,0,1,1,0
